seconds,underlying,volume
1020,194.24,1
1021,194.2499,1
1022,194.25,1
1023,194.25,1
1024,194.25,1
1025,194.2401,5
1026,194.22,1
1027,194.24,1
1028,194.2405,1
1029,194.23,2
1030,194.2349,1
1031,194.2286,6
1032,194.24,1
1033,194.23,1
1034,194.24,2
1035,194.2257,35
1036,194.24,7
1037,194.23,1
1038,194.23,1
1039,194.23,1
1040,194.2377,4
1041,194.22,1
1042,194.18,1
1043,194.2,1
1044,194.2,1
1045,194.19,77
1046,194.2,1
1047,194.1899,2
1048,194.19,5
1049,194.2,1
1050,194.18,1
1051,194.19,1
1052,194.19,1
1053,194.19,1
1054,194.15,1
1055,194.145,3
1056,194.15,1
1057,194.15,1
1058,194.15,1
1059,194.15,1
1060,194.16,1
1061,194.175,1
1062,194.17,1
1063,194.171,2
1064,194.19,1
1065,194.19,1
1066,194.185,3
1067,194.19,1
1068,194.1801,2
1069,194.1891,1
1070,194.15,2
1071,194.15,2
1072,194.145,1
1073,194.1413,2
1074,194.15,1
1075,194.15,1
1076,194.1599,1
1077,194.17,1
1078,194.16,6
1079,194.16,6
1080,194.16,6
1081,194.19,1
1082,194.19,1
1083,194.19,1
1084,194.19,1
1085,194.18,33
1086,194.1435,1
1087,194.145,5
1088,194.13,1
1089,194.14,1
1090,194.13,1
1091,194.12,1
1092,194.11,3
1093,194.11,3
1094,194.09,2
1095,194.08,10
1096,194.09,1
1097,194.09,1
1098,194.1,1
1099,194.0999,3
1100,194.0999,3
1101,194.0999,3
1102,194.095,10
1103,194.1,1
1104,194.09,1
1105,194.1,1
1106,194.085,2
1107,194.0958,6
1108,194.0601,2
1109,194.0805,15
1110,194.0805,15
1111,194.09,1
1112,194.11,1
1113,194.12,1
1114,194.14,1
1115,194.139,1
1116,194.14,1
1117,194.16,1
1118,194.157,25
1119,194.14,2
1120,194.1373,1
1121,194.14,1
1122,194.14,1
1123,194.1665,1
1124,194.1665,1
1125,194.17,1
1126,194.165,2
1127,194.17,5
1128,194.1784,2
1129,194.1701,3
1130,194.1701,3
1131,194.18,2
1132,194.18,1
1133,194.18,1
1134,194.18,1
1135,194.18,1
1136,194.1765,4
1137,194.166,5
1138,194.15,1
1139,194.17,2
1140,194.16,1
1141,194.16,1
1142,194.16,1
1143,194.1581,1
1144,194.16,1
1145,194.16,1
1146,194.16,1
1147,194.16,1
1148,194.17,1
1149,194.1501,2
1150,194.17,1
1151,194.19,1
1152,194.19,1
1153,194.19,1
1154,194.1851,2
1155,194.18,3
1156,194.19,1
1157,194.18,1
1158,194.16,1
1159,194.16,1
1160,194.16,1
1161,194.16,1
1162,194.16,1
1163,194.16,1
1164,194.17,1
1165,194.1701,1
1166,194.16,1
1167,194.1699,1
1168,194.15,2
1169,194.15,2
1170,194.19,1
1171,194.2,1
1172,194.21,1
1173,194.2,1
1174,194.2199,3
1175,194.21,3
1176,194.2,1
1177,194.2,1
1178,194.21,1
1179,194.1911,3
1180,194.1911,3
1181,194.2,1
1182,194.195,1
1183,194.195,1
1184,194.21,1
1185,194.21,1
1186,194.2,1
1187,194.2,1
1188,194.2099,5
1189,194.2099,5
1190,194.21,1
1191,194.21,1
1192,194.21,1
1193,194.205,1
1194,194.205,1
1195,194.205,1
1196,194.2,1
1197,194.23,1
1198,194.2299,10
1199,194.22,1
1200,194.23,1
1201,194.2399,9
1202,194.235,1
1203,194.235,1
1204,194.2201,5
1205,194.2304,1
1206,194.2304,1
1207,194.245,1
1208,194.24,1
1209,194.2498,1
1210,194.2498,1
1211,194.24,1
1212,194.24,1
1213,194.24,1
1214,194.24,1
1215,194.24,1
1216,194.23,2
1217,194.23,2
1218,194.23,10
1219,194.23,10
1220,194.2026,2
1221,194.2168,4
1222,194.22,2
1223,194.23,1
1224,194.23,9
1225,194.23,3
1226,194.23,3
1227,194.225,1
1228,194.2131,1
1229,194.22,1
1230,194.22,1
1231,194.21,1
1232,194.215,1
1233,194.2,1
1234,194.19,3
1235,194.19,3
1236,194.18,1
1237,194.1701,1
1238,194.1799,22
1239,194.17,1
1240,194.17,2
1241,194.18,5
1242,194.16,2
1243,194.1672,1
1244,194.19,1
1245,194.19,1
1246,194.19,1
1247,194.2,1
1248,194.2,1
1249,194.2,1
1250,194.2,1
1251,194.2,1
1252,194.2,1
1253,194.1944,3
1254,194.22,1
1255,194.22,1
1256,194.22,1
1257,194.23,1
1258,194.24,1
1259,194.27,1
1260,194.285,2
1261,194.29,1
1262,194.2997,2
1263,194.288,10
1264,194.29,1
1265,194.2999,1
1266,194.2999,1
1267,194.2999,1
1268,194.2999,1
1269,194.3,2
1270,194.275,1
1271,194.275,5
1272,194.2767,1
1273,194.305,1
1274,194.2809,1
1275,194.3,4
1276,194.3,3
1277,194.3,3
1278,194.3,3
1279,194.3,3
1280,194.3,3
1281,194.29,1
1282,194.31,1
1283,194.3,1
1284,194.3,1
1285,194.31,1
1286,194.31,1
1287,194.31,1
1288,194.31,1
1289,194.295,10
1290,194.295,10
1291,194.29,2
1292,194.29,2
1293,194.29,1
1294,194.29,1
1295,194.3,1
1296,194.31,1
1297,194.296,1
1298,194.309,3
1299,194.309,3
1300,194.3,1
1301,194.29,1
1302,194.29,1
1303,194.275,1
1304,194.27,1
1305,194.2655,1
1306,194.2791,14
1307,194.27,1
1308,194.25,1
1309,194.2539,3
1310,194.2539,3
1311,194.2723,3
1312,194.266,1
1313,194.27,1
1314,194.25,1
1315,194.245,1
1316,194.24,1
1317,194.235,1
1318,194.2201,1
1319,194.2201,1
1320,194.2206,1
1321,194.2401,1
1322,194.2425,7
1323,194.2425,7
1324,194.255,1
1325,194.255,1
1326,194.24,1
1327,194.23,1
1328,194.2543,2
1329,194.2543,2
1330,194.246,5
1331,194.24,1
1332,194.24,1
1333,194.24,1
1334,194.24,1
1335,194.2401,2
1336,194.2401,2
1337,194.255,2
1338,194.24,1
1339,194.24,1
1340,194.24,1
1341,194.25,1
1342,194.24,1
1343,194.24,1
1344,194.25,1
1345,194.26,1
1346,194.26,1
1347,194.26,1
1348,194.27,2
1349,194.27,14
1350,194.27,14
1351,194.27,1
1352,194.275,1
1353,194.2799,10
1354,194.27,1
1355,194.27,1
1356,194.27,1
1357,194.2818,2
1358,194.285,1
1359,194.285,1
1360,194.26,1
1361,194.26,1
1362,194.27,10
1363,194.28,1
1364,194.289,1
1365,194.2884,1
1366,194.3002,1
1367,194.3002,1
1368,194.3002,1
1369,194.31,1
1370,194.32,4
1371,194.31,1
1372,194.305,1
1373,194.31,1
1374,194.32,3
1375,194.31,5
1376,194.32,1
1377,194.32,1
1378,194.325,1
1379,194.3242,2
1380,194.34,1
1381,194.335,4
1382,194.338,3
1383,194.33,1
1384,194.33,1
1385,194.35,1
1386,194.3571,2
1387,194.34,1
1388,194.34,2
1389,194.33,1
1390,194.33,1
1391,194.33,1
1392,194.34,1
1393,194.335,1
1394,194.335,1
1395,194.34,2
1396,194.335,3
1397,194.335,1
1398,194.37,4
1399,194.375,1
1400,194.3783,1
1401,194.3723,1
1402,194.37,3
1403,194.37,3
1404,194.3702,1
1405,194.375,1
1406,194.375,1
1407,194.375,1
1408,194.4,18
1409,194.4,1
1410,194.4099,10
1411,194.41,2
1412,194.41,2
1413,194.39,1
1414,194.4087,1
1415,194.4,1
1416,194.4,1
1417,194.4,1
1418,194.41,1
1419,194.41,1
1420,194.41,1
1421,194.41,1
1422,194.415,2
1423,194.41,1
1424,194.4101,1
1425,194.43,1
1426,194.4299,1
1427,194.43,1
1428,194.435,1
1429,194.435,1
1430,194.435,1
1431,194.4372,10
1432,194.438,1
1433,194.41,6
1434,194.411,5
1435,194.43,5
1436,194.43,5
1437,194.44,1
1438,194.445,1
1439,194.445,1
1440,194.45,1
1441,194.45,1
1442,194.46,1
1443,194.455,4
1444,194.45,1
1445,194.44,1
1446,194.4493,1
1447,194.45,2
1448,194.44,1
1449,194.44,1
1450,194.44,1
1451,194.45,2
1452,194.42,1
1453,194.425,1
1454,194.425,1
1455,194.43,1
1456,194.43,1
1457,194.44,1
1458,194.44,1
1459,194.445,1
1460,194.445,1
1461,194.445,1
1462,194.445,1
1463,194.44,3
1464,194.4427,2
1465,194.4427,2
1466,194.44,1
1467,194.45,1
1468,194.45,5
1469,194.45,5
1470,194.46,1
1471,194.4599,15
1472,194.455,1
1473,194.455,1
1474,194.4447,1
1475,194.44,1
1476,194.435,3
1477,194.42,2
1478,194.3901,5
1479,194.4,1
1480,194.4,1
1481,194.39,4
1482,194.4,3
1483,194.38,4
1484,194.385,3
1485,194.395,1
1486,194.395,1
1487,194.395,1
1488,194.4199,2
1489,194.4,1
1490,194.41,1
1491,194.415,1
1492,194.415,1
1493,194.425,1
1494,194.425,1
1495,194.416,1
1496,194.416,1
1497,194.416,1
1498,194.425,2
1499,194.42,1
1500,194.42,1
1501,194.39,1
1502,194.395,3
1503,194.3992,1
1504,194.395,1
1505,194.395,1
1506,194.395,1
1507,194.4009,10
1508,194.4009,10
1509,194.4201,1
1510,194.4201,1
1511,194.425,2
1512,194.43,1
1513,194.43,8
1514,194.43,8
1515,194.43,8
1516,194.4348,1
1517,194.4348,1
1518,194.445,3
1519,194.44,2
1520,194.44,2
1521,194.44,2
1522,194.445,11
1523,194.45,1
1524,194.47,2
1525,194.4442,15
1526,194.4442,15
1527,194.4435,3
1528,194.4393,1
1529,194.432,9
1530,194.43,1
1531,194.44,1
1532,194.44,1
1533,194.4335,2
1534,194.4335,2
1535,194.42,1
1536,194.42,1
1537,194.4199,3
1538,194.4199,3
1539,194.4199,3
1540,194.41,20
1541,194.41,1
1542,194.41,1
1543,194.41,1
1544,194.41,1
1545,194.41,2
1546,194.41,5
1547,194.41,5
1548,194.395,1
1549,194.395,1
1550,194.3889,1
1551,194.3889,1
1552,194.3889,1
1553,194.39,7
1554,194.39,4
1555,194.39,4
1556,194.39,4
1557,194.3965,1
1558,194.3965,1
1559,194.38,1
1560,194.3901,5
1561,194.3901,2
1562,194.41,1
1563,194.4105,5
1564,194.4105,5
1565,194.4105,5
1566,194.41,1
1567,194.42,1
1568,194.42,2
1569,194.3855,1
1570,194.39,1
1571,194.39,1
1572,194.38,2
1573,194.38,5
1574,194.36,1
1575,194.3712,1
1576,194.3699,1
1577,194.38,2
1578,194.3801,2
1579,194.39,1
1580,194.39,1
1581,194.39,1
1582,194.39,1
1583,194.3864,1
1584,194.3864,1
1585,194.3864,1
1586,194.39,1
1587,194.39,1
1588,194.39,1
1589,194.39,6
1590,194.3972,5
1591,194.39,5
1592,194.39,1
1593,194.4,1
1594,194.4,1
1595,194.41,1
1596,194.405,1
1597,194.395,1
1598,194.39,1
1599,194.39,1
1600,194.39,1
1601,194.41,4
1602,194.41,1
1603,194.41,1
1604,194.41,4
1605,194.41,4
1606,194.4,1
1607,194.4,2
1608,194.4,1
1609,194.38,1
1610,194.3701,5
1611,194.41,4
1612,194.4,1
1613,194.39,1
1614,194.39,1
1615,194.39,1
1616,194.38,1
1617,194.38,1
1618,194.39,1
1619,194.3901,1
1620,194.4,1
1621,194.4,1
1622,194.4,1
