,Date,Open,High,Low,Close,Adj Close,Volume,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value
236,2022-08-08,166.369995,167.809998,164.199997,164.869995,163.47345,60276900,,,,,,,,,,,,
237,2022-08-09,164.020004,165.820007,163.25,164.919998,163.523026,63135500,,,,,,,,,,,,
238,2022-08-10,167.679993,169.339996,166.899994,169.240005,167.806458,70170500,,,,,,,,,,,,
239,2022-08-11,170.059998,170.990005,168.190002,168.490005,167.06282,57149200,,,,,,,,,,,,
240,2022-08-12,169.820007,172.169998,169.399994,172.100006,170.642227,68039400,,,,,,,,,,,,
241,2022-08-15,171.520004,173.389999,171.350006,173.190002,171.722977,54091700,,,,,,,,,,,,
242,2022-08-16,172.779999,173.710007,171.660004,173.029999,171.564362,56377100,,,,,,,,,,,,
243,2022-08-17,172.770004,176.149994,172.570007,174.550003,173.071457,79542000,,,,,,,,,,,,
244,2022-08-18,173.75,174.899994,173.119995,174.149994,172.67485,62290100,,,,,,,,,,,,
245,2022-08-19,173.029999,173.740005,171.309998,171.520004,170.067154,70346300,,2022-08-19,2022-08-17,AAPL,Maestri Luca,"SVP, CFO",S - Sale,$174.96,"-96,735","110,673",-47%,"-$16,924,259"
246,2022-08-22,169.690002,169.860001,167.139999,167.570007,166.150604,69026800,A,2022-08-22,2022-08-17,AAPL,Maestri Luca,"SVP, CFO",S - Sale,$174.96,"-96,735","110,673",-47%,"-$16,924,259"
247,2022-08-23,167.080002,168.710007,166.649994,167.229996,165.813461,54147100,,,,,,,,,,,,
248,2022-08-24,167.320007,168.110001,166.25,167.529999,166.110901,53841500,,,,,,,,,,,,
249,2022-08-25,168.779999,170.139999,168.350006,170.029999,168.589752,51218200,,,,,,,,,,,,
250,2022-08-26,170.570007,171.050003,163.559998,163.619995,162.234055,78961000,,,,,,,,,,,,
251,2022-08-29,161.149994,162.899994,159.820007,161.380005,160.013016,73314000,,,,,,,,,,,,
252,2022-08-30,162.130005,162.559998,157.720001,158.910004,157.56395,77906200,,,,,,,,,,,,
253,2022-08-31,160.309998,160.580002,157.139999,157.220001,155.88826,87991100,,,,,,,,,,,,
254,2022-09-01,156.639999,158.419998,154.669998,157.960007,156.621979,74229900,,,,,,,,,,,,
255,2022-09-02,159.75,160.360001,154.970001,155.809998,154.490204,76957800,,,,,,,,,,,,
256,2022-09-06,156.470001,157.089996,153.690002,154.529999,153.221069,73714800,,,,,,,,,,,,
257,2022-09-07,154.820007,156.669998,153.610001,155.960007,154.638931,87449600,,,,,,,,,,,,
258,2022-09-08,154.639999,156.360001,152.679993,154.460007,153.151657,84923800,,,,,,,,,,,,
259,2022-09-09,155.470001,157.820007,154.75,157.369995,156.036987,68028800,,,,,,,,,,,,
260,2022-09-12,159.589996,164.259995,159.300003,163.429993,162.045639,104956000,,,,,,,,,,,,
261,2022-09-13,159.899994,160.539993,153.369995,153.839996,152.53688,122656600,,,,,,,,,,,,
262,2022-09-14,154.789993,157.100006,153.610001,155.309998,153.994446,87965400,,,,,,,,,,,,
263,2022-09-15,154.649994,155.240005,151.380005,152.369995,151.07933,90481100,,,,,,,,,,,,
264,2022-09-16,151.210007,151.350006,148.369995,150.699997,149.423492,162278800,,,,,,,,,,,,
265,2022-09-19,149.309998,154.559998,149.100006,154.479996,153.171463,81474200,,,,,,,,,,,,
266,2022-09-20,153.399994,158.080002,153.080002,156.899994,155.570969,107689800,,,,,,,,,,,,
267,2022-09-21,157.339996,158.740005,153.600006,153.720001,152.417892,101696800,,,,,,,,,,,,
268,2022-09-22,152.380005,154.470001,150.910004,152.740005,151.446213,86652500,,,,,,,,,,,,
269,2022-09-23,151.190002,151.470001,148.559998,150.429993,149.155762,96029900,,,,,,,,,,,,
270,2022-09-26,149.660004,153.770004,149.639999,150.770004,149.492889,93339400,,,,,,,,,,,,
271,2022-09-27,152.740005,154.720001,149.949997,151.759995,150.474503,84442700,,,,,,,,,,,,
272,2022-09-28,147.639999,150.639999,144.839996,149.839996,148.570755,146691400,,,,,,,,,,,,
273,2022-09-29,146.100006,146.720001,140.679993,142.479996,141.273102,128138200,,,,,,,,,,,,
274,2022-09-30,141.279999,143.100006,138.0,138.199997,137.029358,124925300,,,,,,,,,,,,
275,2022-10-03,138.210007,143.070007,137.690002,142.449997,141.243362,114311700,,,,,,,,,,,,
276,2022-10-04,145.029999,146.220001,144.259995,146.100006,144.862442,87830100,D,2022-10-04,2022-10-03,AAPL,O'Brien Deirdre,SVP,S - Sale+OE,$142.16,"-176,299","136,290",-56%,"-$25,062,882"
277,2022-10-04,145.029999,146.220001,144.259995,146.100006,144.862442,87830100,D,2022-10-04,2022-10-03,AAPL,Adams Katherine L.,"SVP, GC, Secretary",S - Sale+OE,$141.41,"-181,139","427,334",-30%,"-$25,615,117"
278,2022-10-05,144.070007,147.380005,143.009995,146.399994,145.159912,79471000,,,,,,,,,,,,
279,2022-10-06,145.809998,147.539993,145.220001,145.429993,144.198135,68402200,,,,,,,,,,,,
280,2022-10-07,142.539993,143.100006,139.449997,140.089996,138.903366,85925600,,,,,,,,,,,,
281,2022-10-10,140.419998,141.889999,138.570007,140.419998,139.23056,74899000,,,,,,,,,,,,
282,2022-10-11,139.899994,141.350006,138.220001,138.979996,137.802734,77033700,,,,,,,,,,,,
283,2022-10-12,139.130005,140.360001,138.160004,138.339996,137.168182,70433700,,,,,,,,,,,,
