X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value
,2023-06-12 19:35:04,2023-06-09,SNOW,Kleinerman Christian,"SVP, Product Management",S - Sale,$174.31,-724,"1,004,658",0%,"-$126,200"
,2023-06-12 19:31:10,2023-06-09,SNOW,Czajkowski Grzegorz,"SVP, Engineering, Support",S - Sale,$174.31,-724,"56,524",-1%,"-$126,200"
,2023-06-02 19:32:01,2023-05-31,SNOW,McLaughlin Mark D,Dir,P - Purchase,$163.80,"+1,831","8,657",+27%,"+$299,918"
D,2023-06-02 19:31:02,2023-05-31,SNOW,McMahon John Dennis,Dir,S - Sale+OE,$163.25,"-230,000","629,827",-27%,"-$37,546,766"
D,2023-05-22 20:19:44,2023-05-18,SNOW,Dageville Benoit,Pres of Products,S - Sale+OE,$180.00,"-13,182","5,118,263",0%,"-$2,372,760"
D,2023-05-12 19:32:44,2023-05-10,SNOW,Dageville Benoit,Pres of Products,S - Sale+OE,$165.81,"-13,182","5,122,218",0%,"-$2,185,707"
,2023-05-10 19:02:50,2023-05-08,SNOW,McMahon John Dennis,Dir,S - Sale,$160.27,"-1,000","429,827",0%,"-$160,270"
D,2023-05-08 19:42:09,2023-05-04,SNOW,Dageville Benoit,Pres of Products,S - Sale+OE,$150.00,"-6,591","5,124,196",0%,"-$988,650"
D,2023-05-05 19:18:32,2023-05-03,SNOW,McMahon John Dennis,Dir,S - Sale+OE,$144.07,"-10,000","430,827",-2%,"-$1,440,700"
D,2023-04-12 18:34:49,2023-04-10,SNOW,Dageville Benoit,Pres of Products,S - Sale+OE,$143.34,"-6,591","5,126,173",0%,"-$944,754"
,2023-04-10 18:44:15,2023-04-06,SNOW,McMahon John Dennis,Dir,S - Sale,$144.59,"-1,000","430,827",0%,"-$144,590"
D,2023-04-05 18:39:59,2023-04-03,SNOW,McMahon John Dennis,Dir,S - Sale+OE,$152.79,"-10,000","431,827",-2%,"-$1,527,900"
D,2023-03-31 17:40:57,2023-03-29,SNOW,Dageville Benoit,Pres of Products,S - Sale+OE,$136.26,"-60,827","5,163,263",-1%,"-$8,288,287"
D,2023-03-24 18:04:28,2023-03-22,SNOW,Dageville Benoit,Pres of Products,S - Sale+OE,$142.00,"-57,963","5,198,607",-1%,"-$8,230,746"
D,2023-03-17 18:41:14,2023-03-15,SNOW,Dageville Benoit,Pres of Products,S - Sale+OE,$136.28,"-58,647","5,198,607",-1%,"-$7,992,413"
,2023-03-13 16:12:17,2023-03-09,SNOW,Slootman Frank,"CEO, COB",S - Sale,$141.38,"-1,701","996,847",0%,"-$240,487"
