volume,vw,open,close,high,low,t,num_trades,simpletime,date,vwap
181,195.9083,195.905,195.905,195.905,195.905,1704810792000,5,160,2024-01-09 08:33:12,195.63490307370108
301,195.7001,195.7001,195.7001,195.7001,195.7001,1704810797000,2,161,2024-01-09 08:33:17,195.63504115904493
300,196.0556,196.0556,196.0556,196.0556,196.0556,1704810799000,1,162,2024-01-09 08:33:19,195.6359270620782
434,195.7898,195.88,195.68,195.88,195.68,1704810810000,5,163,2024-01-09 08:33:30,195.6363945481655
100,195.9817,195.9817,195.9817,195.9817,195.9817,1704810813000,1,164,2024-01-09 08:33:33,195.6366361032801
145,195.9674,195.9954,195.9954,195.9954,195.9954,1704810816000,2,165,2024-01-09 08:33:36,195.63697126823945
2563,195.6724,195.695,195.59,195.695,195.59,1704810818000,68,166,2024-01-09 08:33:38,195.63759466836922
663,195.5412,195.58,195.57,195.58,195.57,1704810819000,16,167,2024-01-09 08:33:39,195.6371578942332
375,195.4308,195.43,195.4426,195.4426,195.43,1704810820000,4,168,2024-01-09 08:33:40,195.63663038371604
711,195.4366,195.44,195.455,195.47,195.44,1704810821000,13,169,2024-01-09 08:33:41,195.63566556767606
360,195.4489,195.45,195.45,195.45,195.45,1704810826000,6,170,2024-01-09 08:33:46,195.63521055979638
450,195.3133,195.29,195.28,195.29,195.28,1704810827000,12,171,2024-01-09 08:33:47,195.634233217288
132,195.2764,195.28,195.28,195.28,195.28,1704810829000,7,172,2024-01-09 08:33:49,195.63391482170536
226,195.2673,195.275,195.275,195.275,195.275,1704810835000,9,173,2024-01-09 08:33:55,195.63335716131806
247,195.3362,195.36,195.36,195.36,195.36,1704810840000,7,174,2024-01-09 08:34:00,195.63286397263857
300,195.3952,195.3952,195.3952,195.3952,195.3952,1704810844000,1,175,2024-01-09 08:34:04,195.63238584926532
612,195.5465,195.525,195.52,195.53,195.52,1704810845000,12,176,2024-01-09 08:34:05,195.6320348148395
101,195.6575,195.6599,195.6599,195.6599,195.6599,1704810855000,2,177,2024-01-09 08:34:15,195.6320519801649
549,195.6716,195.67,195.67,195.68,195.67,1704810857000,14,178,2024-01-09 08:34:17,195.63219635535452
150,195.59,195.59,195.59,195.59,195.59,1704810858000,1,179,2024-01-09 08:34:18,195.63215430896463
243,195.7177,195.715,195.715,195.715,195.715,1704810862000,7,180,2024-01-09 08:34:22,195.63229217790388
200,195.5875,195.5875,195.5875,195.5875,195.5875,1704810868000,1,181,2024-01-09 08:34:28,195.63223284187092
500,195.89,195.89,195.89,195.89,195.89,1704810871000,1,182,2024-01-09 08:34:31,195.63308368211878
1105,195.8409,195.715,195.79,195.9,195.715,1704810873000,30,183,2024-01-09 08:34:33,195.6345886796038
100,195.73,195.73,195.73,195.73,195.73,1704810877000,1,184,2024-01-09 08:34:37,195.6346511694163
141,195.8818,195.9399,195.9399,195.9399,195.9399,1704810878000,4,185,2024-01-09 08:34:38,195.63487919633033
286,195.9154,195.9399,195.9399,195.9399,195.9399,1704810879000,2,186,2024-01-09 08:34:39,195.6354031918228
1119,195.8675,195.94,195.73,195.94,195.73,1704810880000,10,187,2024-01-09 08:34:40,195.63708715740873
621,195.9727,195.965,195.965,195.965,195.965,1704810891000,18,188,2024-01-09 08:34:51,195.63843307652562
1205,196.0071,196.0001,196.02,196.02,196.0,1704810893000,24,189,2024-01-09 08:34:53,195.64127978853602
103,196.0051,196.0,196.0,196.0,196.0,1704810895000,2,190,2024-01-09 08:34:55,195.6415197601147
355,196.0,196.0,196.0,196.0,196.0,1704810896000,9,191,2024-01-09 08:34:56,195.64233285861232
100,196.02,196.02,196.02,196.02,196.02,1704810903000,1,192,2024-01-09 08:35:03,195.64257400535072
1856,195.9659,196.03,195.9,196.03,195.9,1704810904000,29,193,2024-01-09 08:35:04,195.64636082199036
723,195.9332,195.974,195.974,195.974,195.974,1704810905000,14,194,2024-01-09 08:35:05,195.64766355532936
313,195.9567,195.96,195.96,195.96,195.96,1704810907000,5,195,2024-01-09 08:35:07,195.64826998401298
808,195.7183,195.71,195.71,195.71,195.71,1704810929000,22,196,2024-01-09 08:35:29,195.64862294511354
1057,195.6994,195.73,195.68,195.73,195.68,1704810932000,26,197,2024-01-09 08:35:32,195.6489555431616
103,195.7171,195.72,195.72,195.72,195.72,1704810934000,2,198,2024-01-09 08:35:34,195.64899901098008
795,195.6094,195.69,195.55,195.69,195.55,1704810937000,22,199,2024-01-09 08:35:37,195.648805003451
772,195.5301,195.54,195.49,195.54,195.49,1704810938000,11,200,2024-01-09 08:35:38,195.64824293118247
115,195.63,195.63,195.63,195.63,195.63,1704810940000,1,201,2024-01-09 08:35:40,195.64823007263024
525,195.6422,195.63,195.64,195.64,195.63,1704810945000,9,202,2024-01-09 08:35:45,195.6482107313049
782,195.547,195.57,195.57,195.57,195.565,1704810963000,17,203,2024-01-09 08:36:03,195.64772948462252
130,195.457,195.47,195.47,195.47,195.47,1704810967000,6,204,2024-01-09 08:36:07,195.64757884040532
380,195.6536,195.6536,195.6536,195.6536,195.6536,1704810969000,1,205,2024-01-09 08:36:09,195.6475927096719
100,195.495,195.495,195.495,195.495,195.495,1704810979000,1,206,2024-01-09 08:36:19,195.64750026957927
1023,195.6755,195.68,195.68,195.68,195.68,1704810983000,4,207,2024-01-09 08:36:23,195.64767272344133
404,195.3491,195.3,195.3,195.3,195.3,1704810992000,12,208,2024-01-09 08:36:32,195.6469482543438
100,195.51,195.51,195.51,195.51,195.51,1704810998000,1,209,2024-01-09 08:36:38,195.64686605201706
1363,195.3744,195.51,195.35,195.51,195.3,1704811002000,17,210,2024-01-09 08:36:42,195.644655008871
223,195.5034,195.46,195.53,195.53,195.46,1704811003000,4,211,2024-01-09 08:36:43,195.64446771590804
485,195.4247,195.39,195.41,195.41,195.39,1704811009000,14,212,2024-01-09 08:36:49,195.6438357876326
